stage,model_id,model_key,layer_index,normalized_depth,protocol,source_relations,target_relation,fold,auc,balanced_accuracy,n_train,n_test,n_iter
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P19,P19,1,0.8613406795224977,0.7575757575757576,134,66,32
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P19,P19,2,0.8025711662075299,0.7272727272727273,134,66,62
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P103,P103,0,0.9688581314878892,0.9264705882352942,132,68,28
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P103,P103,1,0.9733700642791552,0.9393939393939394,134,66,26
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P103,P103,2,0.9494949494949495,0.8787878787878789,134,66,26
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P101,P101,0,0.8953287197231834,0.8235294117647058,132,68,25
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P101,P101,1,0.8741965105601469,0.7575757575757576,134,66,49
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P101,P101,2,0.9302112029384757,0.8484848484848484,134,66,30
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P159,P159,0,0.930795847750865,0.8529411764705882,132,68,41
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P159,P159,1,0.9733700642791552,0.9090909090909092,134,66,32
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P159,P159,2,0.9568411386593205,0.9090909090909091,134,66,21
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P176,P176,0,0.995674740484429,0.9852941176470589,132,68,17
