stage,model_id,model_key,layer_index,normalized_depth,protocol,source_relations,target_relation,fold,auc,balanced_accuracy,n_train,n_test,n_iter
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P19,P103,,0.9608,0.895,200,200,31
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P19,P101,,0.8842000000000001,0.785,200,200,31
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P19,P159,,0.9618,0.855,200,200,31
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P19,P176,,0.9642999999999999,0.895,200,200,31
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P19,P138,,0.8487,0.715,200,200,31
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P103,P19,,0.8930999999999999,0.8049999999999999,200,200,60
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P103,P101,,0.9401999999999999,0.7849999999999999,200,200,60
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P103,P159,,0.9758,0.9,200,200,60
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P103,P176,,0.9429,0.88,200,200,60
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P103,P138,,0.8453999999999999,0.8,200,200,60
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P101,P19,,0.9057000000000001,0.6950000000000001,200,200,21
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P101,P103,,0.9441999999999999,0.875,200,200,21
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P101,P159,,0.9558000000000001,0.86,200,200,21
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P101,P176,,0.9231,0.855,200,200,21
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P101,P138,,0.9355,0.86,200,200,21
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P159,P19,,0.9176,0.825,200,200,23
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P159,P103,,0.9798500000000001,0.9199999999999999,200,200,23
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P159,P101,,0.9559,0.76,200,200,23
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P159,P176,,0.9933000000000001,0.87,200,200,23
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P159,P138,,0.9877,0.835,200,200,23
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P176,P19,,0.913,0.725,200,200,17
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P176,P103,,0.9753,0.765,200,200,17
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P176,P101,,0.9405,0.895,200,200,17
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P176,P159,,0.9862,0.9,200,200,17
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P176,P138,,0.9929000000000001,0.94,200,200,17
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P138,P19,,0.8946000000000001,0.695,200,200,16
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P138,P103,,0.9657,0.86,200,200,16
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P138,P101,,0.9339999999999999,0.855,200,200,16
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P138,P159,,0.9817,0.7849999999999999,200,200,16
2,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,transfer,P138,P176,,0.9972,0.975,200,200,16
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P19,P103,,0.9698,0.895,200,200,20
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P19,P101,,0.9158999999999999,0.88,200,200,20
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P19,P159,,0.9854999999999999,0.935,200,200,20
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P19,P176,,0.9969,0.975,200,200,20
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P19,P138,,0.9898,0.88,200,200,20
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P103,P19,,0.9514,0.62,200,200,24
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P103,P101,,0.9239999999999999,0.665,200,200,24
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P103,P159,,0.9853,0.69,200,200,24
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P103,P176,,0.9922,0.825,200,200,24
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P103,P138,,0.9881,0.61,200,200,24
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P101,P19,,0.9312,0.85,200,200,17
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P101,P103,,0.9663999999999999,0.94,200,200,17
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P101,P159,,0.9809,0.945,200,200,17
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P101,P176,,0.9993,0.9299999999999999,200,200,17
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P101,P138,,0.9945999999999999,0.895,200,200,17
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P159,P19,,0.9571999999999999,0.885,200,200,17
2,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,transfer,P159,P103,,0.9793000000000001,0.8300000000000001,200,200,17
