context_relation,P19,P103,P101,P159,P176,P138
P19,0.1904584765434265,0.12892946228384972,0.42354822158813477,0.13498437404632568,0.16939020156860352,0.056490421295166016
P103,0.464871883392334,0.446616992354393,0.7404110431671143,0.14059367775917053,0.35725049674510956,0.1212320327758789
P101,0.4374280720949173,0.19843696057796478,1.2533926963806152,0.14896941184997559,0.1519852876663208,0.15362966060638428
P159,0.2859259843826294,0.13636666536331177,0.5312509536743164,0.6398705989122391,0.20507758855819702,-0.00427854061126709
P176,0.43281298875808716,0.22748112678527832,0.4424682855606079,0.19872334599494934,2.5743732154369354,0.7530249953269958
P138,0.14529860019683838,0.4832097887992859,0.4261622428894043,0.19100181013345718,1.2390521988272667,1.0987527668476105
