,P19,P103,P101,P159,P176,P138
P19,0.8955469023886765,0.9608,0.8842000000000001,0.9618,0.9642999999999999,0.8487
P103,0.8930999999999999,0.9634197167226421,0.9401999999999999,0.9758,0.9429,0.8453999999999999
P101,0.9057000000000001,0.9441999999999999,0.951708285539679,0.9558000000000001,0.9231,0.9355
P159,0.9176,0.9798500000000001,0.9559,0.9700517813131843,0.9933000000000001,0.9877
P176,0.913,0.9753,0.9405,0.9862,0.9976577137634074,0.9929000000000001
P138,0.8946000000000001,0.9657,0.9339999999999999,0.9817,0.9972,0.9938381931933362
