,P19,P103,P101,P159,P176,P138
P19,0.9487937993757433,0.9698,0.9158999999999999,0.9854999999999999,0.9969,0.9898
P103,0.9514,0.9806053086172621,0.9239999999999999,0.9853,0.9922,0.9881
P101,0.9312,0.9663999999999999,0.9478223039877648,0.9809,0.9993,0.9945999999999999
P159,0.9571999999999999,0.9793000000000001,0.9494999999999999,0.9868690575673904,0.9996999999999999,0.9809
P176,0.9636999999999999,0.9644,0.9531,0.9844,0.9990817263544537,0.9977
P138,0.9701,0.9573999999999999,0.9325,0.9913,0.9995999999999999,0.9987756351392716
